	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
gene0	965	586	916	151	887	938	558	555	326	782
gene1	854	219	348	340	970	54	894	906	800	539
gene2	908	552	293	741	148	678	54	910	79	458
gene3	575	141	489	270	327	537	448	287	39	53
gene4	963	397	630	515	542	597	974	870	528	994
gene5	512	288	921	451	618	269	938	332	980	605
gene6	292	561	357	50	77	101	932	288	998	838
gene7	655	115	771	866	980	983	788	456	822	822
gene8	791	846	154	393	258	314	614	524	789	532
gene9	368	931	749	334	875	380	782	758	799	271
gene10	992	868	148	439	88	771	75	397	980	502
gene11	644	539	201	634	272	858	567	477	652	584
gene12	234	551	963	380	580	101	954	529	511	910
gene13	703	795	491	561	573	722	101	717	656	81
gene14	319	958	396	342	704	587	131	177	800	797
gene15	627	510	129	710	484	220	634	518	148	257
gene16	562	310	37	312	47	598	65	139	221	2
gene17	734	426	941	742	131	835	161	473	978	994
gene18	61	429	239	445	20	231	567	48	802	979
gene19	134	49	611	167	35	738	674	955	315	952
gene20	153	38	437	54	930	445	476	985	862	3
gene21	534	698	296	83	581	161	206	277	419	473
gene22	443	232	215	262	198	835	404	439	177	245
gene23	728	334	676	418	948	476	961	354	886	88
gene24	42	321	737	357	654	62	449	61	194	222
gene25	507	394	211	413	435	518	434	638	8	346
gene26	631	599	400	902	382	976	135	581	761	685
gene27	603	582	306	969	618	185	223	82	421	11
gene28	545	772	247	44	790	433	522	688	960	737
gene29	600	538	318	403	715	645	594	465	322	425
gene30	49	862	833	437	362	731	671	23	902	320
gene31	685	803	616	470	574	131	743	21	809	626
gene32	166	555	672	280	82	284	154	322	32	479
gene33	623	598	22	764	305	863	430	174	868	21
gene34	557	468	341	96	895	204	900	475	520	674
gene35	346	80	863	60	52	412	613	283	853	705
gene36	137	233	402	759	641	161	359	67	861	986
gene37	999	778	314	375	799	348	527	384	874	432
gene38	370	779	714	768	76	983	847	234	707	712
gene39	160	534	642	732	948	249	586	826	435	211
gene40	349	538	84	560	325	382	359	238	945	337
gene41	453	703	534	470	434	233	816	689	155	850
gene42	297	344	960	682	778	547	235	94	182	75
gene43	663	727	782	114	227	193	490	589	427	418
gene44	843	389	986	319	26	9	752	497	96	326
gene45	621	311	209	379	800	623	581	622	416	559
gene46	946	802	935	382	401	503	884	638	675	231
gene47	21	516	971	678	851	806	450	273	145	931
gene48	939	907	152	998	492	947	672	45	438	198
gene49	74	732	33	779	760	755	256	62	137	670
gene50	96	841	597	792	478	763	22	915	996	252
gene51	680	661	142	934	94	426	175	469	115	740
gene52	604	21	611	653	485	433	145	72	630	607
gene53	524	593	832	575	387	525	73	97	615	204
gene54	976	933	822	906	529	724	704	673	485	544
gene55	856	261	392	53	346	52	574	798	455	213
gene56	277	255	99	753	334	82	41	378	815	115
gene57	626	127	533	233	927	32	862	443	614	435
gene58	524	869	909	174	844	818	167	888	386	770
gene59	604	805	666	91	597	318	484	151	282	598
gene60	970	509	392	902	939	844	19	652	38	975
gene61	368	464	673	356	651	440	682	961	793	559
gene62	992	266	577	878	433	114	999	263	632	466
gene63	150	872	64	4	546	741	754	124	302	760
gene64	918	479	239	589	850	432	981	301	178	905
gene65	134	252	704	330	517	422	998	488	644	238
gene66	71	274	690	545	38	341	730	428	295	601
gene67	107	491	388	926	28	198	716	59	146	403
gene68	301	611	120	502	618	216	488	391	280	926
gene69	460	754	57	348	686	683	153	237	260	159
gene70	153	918	545	138	712	374	224	344	58	925
gene71	300	65	461	310	735	441	977	180	388	916
gene72	952	642	479	78	487	319	10	200	329	801
gene73	930	38	542	298	444	961	89	847	834	350
gene74	728	721	270	733	696	847	952	219	474	599
gene75	942	878	419	111	629	506	134	257	398	695
gene76	549	765	578	427	831	406	171	16	114	219
gene77	304	385	877	295	301	92	245	294	802	301
gene78	863	629	846	652	208	606	883	191	858	751
gene79	963	907	964	435	888	765	181	437	435	912
gene80	748	830	953	285	208	266	457	969	931	384
gene81	133	236	506	86	946	786	279	302	288	127
gene82	132	576	64	929	497	225	889	303	725	234
gene83	148	380	752	599	635	201	544	410	730	335
gene84	822	820	604	11	433	76	484	717	231	512
gene85	941	866	974	378	703	491	843	54	150	142
gene86	712	762	730	594	410	410	879	121	741	255
gene87	450	632	670	505	678	490	472	618	679	823
gene88	30	164	929	936	913	46	3	683	907	544
gene89	694	634	421	295	359	638	541	547	395	425
gene90	79	406	958	635	440	749	451	422	67	466
gene91	986	706	570	938	847	526	108	466	963	573
gene92	543	354	130	379	756	376	487	170	918	551
gene93	815	428	646	648	455	642	812	426	969	90
gene94	786	89	806	803	481	924	249	113	133	198
gene95	981	747	702	219	631	809	220	820	112	471
gene96	570	926	318	934	319	753	842	33	780	265
gene97	100	170	242	562	70	678	854	830	201	231
gene98	50	320	128	916	78	410	941	611	342	274
gene99	674	940	306	783	662	166	490	741	682	983
