gene33	gene18	gene23	gene8	gene13	gene24	gene6	gene19	gene99	gene41	gene31	gene0	gene44	gene66	gene30	gene73	gene93	gene25	gene78	gene45	gene70	gene61	gene62	gene36	gene40	gene69	gene81	gene39	gene50	gene90	gene60	gene72	gene59	gene56	gene58	gene7	gene38	gene97	gene1	gene64	gene16	gene89	gene20	gene53	gene27	gene4	gene84	gene83	gene80	gene42	gene21	gene57	gene98	gene46	gene49	gene63	gene2	gene71	gene14	gene74	gene52	gene86	gene95	gene15	gene34	gene5	gene92	gene94	gene11	gene77	gene28	gene75	gene82	gene35	gene96	gene22	gene67	gene26	gene12	gene65	gene76	gene54	gene87	gene32	gene9	gene79	gene85	gene91	gene51	gene37	gene17	gene43	gene68	gene29	gene3	gene47	gene10	gene48	gene88	gene55
64366	57671	46949	39207	62022	41938	46394	33165	53314	23598	53425	76198	50238	37421	71738	48955	53339	54301	41529	39492	43530	48897	60746	50001	31043	22339	49902	46986	29480	30567	30458	65644	38820	46590	42035	38623	43378	50233	48903	44036	39818	54977	46252	51492	71744	49807	42144	45008	61912	63454	41613	47033	36327	36339	47751	49361	46281	45720	58691	56486	56913	50015	69323	51388	39455	44042	49698	44576	26174	54397	36481	40132	39206	51301	57575	36077	35221	34425	73887	38834	50756	61782	42199	39088	57994	60557	67799	53472	72489	49225	69836	23470	37501	41912	47853	25853	68947	35047	56099	38278
58514	64436	51409	55030	45251	59358	61906	55306	52697	41018	51346	74467	65568	49019	77219	54924	50218	57967	31233	42528	43045	37585	47588	50734	37459	23482	53209	45126	36515	36961	51204	68958	66594	55093	39932	42784	48437	58815	45331	32400	37505	42013	65551	41812	72811	66409	59029	42620	56846	55957	44825	35338	43406	38136	62393	60258	27164	45926	52811	56880	65851	68802	55278	37361	48032	31348	43274	50996	34942	48490	35074	44098	48501	49275	43038	42980	23999	44986	60231	46008	52656	54943	55331	45296	65321	43068	80831	56826	49172	54998	66278	39686	54566	36873	47346	34741	43835	45696	51209	53637
52980	62672	49326	45262	54444	54351	54561	51444	49732	38163	45285	72042	65113	53425	70406	51746	49154	60213	30205	37858	50313	46208	55214	55640	40656	18817	49846	49865	38951	43702	40776	63844	57279	53987	50291	37350	38583	59328	49843	34632	45002	40403	57052	40714	67853	63030	53815	45497	54957	66025	43808	41768	49566	43591	57384	57754	34449	44763	58085	57573	64998	60221	56368	43044	42417	42138	51183	51347	22113	53640	41073	47274	46725	55641	44395	43424	25799	42115	54426	39419	47922	56881	52390	44931	57775	46092	65682	53536	57681	51816	61643	35201	46064	35622	48172	34130	47307	44022	48344	50374
46823	59720	42036	44095	45700	53290	61048	63921	45359	32162	50332	65641	63523	49314	70683	54642	47226	62760	34666	33571	44564	46022	56937	48661	48601	25318	43139	40467	42932	44831	46418	55338	55069	52868	43522	42945	50281	51659	49965	32619	38610	35893	58696	48147	62280	72507	53942	49749	55547	57575	46106	45607	44226	44796	58429	60944	39231	48930	53601	46023	61967	57128	49522	43181	35700	37127	44655	51176	40317	48291	37397	52999	48700	56739	45250	41706	30768	56338	55630	45857	53486	46945	56404	41268	56222	51685	73694	57156	58301	48262	61031	44554	52650	36599	40331	34863	43606	51598	51269	53694
47895	60415	44421	46075	50879	53297	60268	57230	48118	33413	48430	67960	65973	53460	70590	53864	46254	61345	33259	35390	47810	44940	59162	54280	44882	24145	48371	44327	41425	47165	39036	59794	55348	53037	49280	39321	46360	50907	49678	33449	44800	36778	57489	43742	65059	66574	52985	46137	58122	63015	46279	42307	46110	44208	57973	60416	36822	49412	56724	49195	61941	58541	51654	45171	36045	42439	46207	53277	30646	51940	37752	48232	47497	55765	49086	40853	29386	48815	56332	44067	48080	47925	55045	41607	56427	48936	70154	56571	59519	46327	62070	36732	48747	40237	45407	33536	47265	47350	51039	54442
48262	67624	52479	47946	50578	58781	57383	56983	55984	45817	44524	72772	60305	51851	76486	60394	51728	59338	29323	36201	45408	37389	44128	50609	42161	21958	45835	48396	36599	42467	55097	72146	62970	55658	47669	43948	50299	52804	44975	37502	37254	43535	56153	40895	68764	73687	49705	37954	52231	56739	37129	36570	56091	41601	57192	59865	30029	52500	52773	57974	72088	64330	52992	30063	41707	39110	44105	45784	34523	41789	27786	50640	43250	60070	43895	32190	29705	51682	54990	44650	49398	57555	54993	39418	61484	43968	81055	53441	56011	51942	66479	42720	55731	40368	53068	35707	47290	44778	46254	46021
53966	62582	49488	61387	42769	57600	68196	64029	47476	35681	51433	68518	71348	53718	73710	50500	42905	64141	29815	46098	43957	41500	52432	58293	43134	23298	57288	42871	40787	44031	45322	64640	74719	55574	44157	39892	49516	56427	41010	30936	42366	32517	72019	36056	72152	68827	62573	47893	61351	53519	49982	31969	42605	43598	72860	59355	25868	46751	54454	53163	65183	71932	47155	38701	44714	34194	44656	60624	31942	53712	42762	48826	46811	47518	47151	47793	20767	47619	58108	41702	49153	46994	61816	49742	61472	42222	76957	61533	46403	46250	60923	44760	59916	38849	45363	32600	34409	55377	51545	62409
59103	55201	43582	39815	61385	44721	53175	43228	46350	21197	49969	72037	61845	48410	68160	49800	45806	57073	38645	39817	47099	52595	70153	55888	40228	23529	49824	43780	37889	42366	25928	57848	44134	48003	49520	33665	43146	52215	50280	39581	50854	42944	54149	51401	66331	52856	46990	52154	60209	66883	49772	51395	35555	45386	53713	55102	46000	45916	63392	48201	54669	52906	64614	57673	33883	48620	49422	54490	24014	60670	46528	40065	44843	50262	57872	42856	31540	36065	69127	42849	49308	52627	50137	43185	52567	56436	61531	59282	69762	45544	63401	24787	35968	40277	44501	28584	60678	43173	54958	50444
50143	57464	41878	38872	53968	51102	55640	54123	43182	30648	48962	67269	66919	51893	66453	47968	49286	63920	35741	34037	52817	53880	64675	53106	45709	20443	46702	46661	43480	46266	34988	51820	47545	53426	47976	38946	34923	60334	56884	32388	46105	37710	55088	47272	62937	62609	56446	53530	58413	71981	49323	49659	43847	45366	54834	59478	44932	43431	58609	52441	59694	52377	55112	54550	38019	41473	54606	52591	23966	58306	46892	51125	51639	58065	43381	50186	28079	46098	53134	39853	50831	52594	49843	45074	54147	54713	58524	53363	63773	51468	59297	35880	43662	32062	39921	33932	47440	46630	54021	52633
64132	59173	39156	53943	45365	41280	59171	50604	48940	21141	63489	75124	52795	31419	72230	36938	48589	61876	47156	42132	44360	57764	60906	54383	38396	30557	50694	40645	37262	37619	39094	50825	52160	53011	25628	45407	43401	59401	42766	30769	37117	49661	63148	50330	73920	58302	57726	56328	68719	55446	47931	42351	31848	32523	60073	54276	47207	39067	51173	48722	54294	56653	58388	55014	43673	34908	56915	56096	37549	66476	43481	45480	45589	44550	52479	49837	30377	44538	72008	37424	57486	50123	49536	43963	62961	60965	69768	61191	64125	47976	67072	39302	53577	34509	36543	26642	50762	50799	61004	55234
56606	59486	42495	43622	51394	48827	55380	55152	45013	28489	50749	72026	63396	48013	68242	47233	46831	60663	35540	36567	49046	54526	63667	55093	44141	23187	46410	44592	42668	44459	37806	52596	52019	52330	44255	36936	40130	60843	51242	31197	45476	39512	60082	48402	65283	61999	55606	54787	55743	64033	48334	50075	41538	44313	57285	58367	41893	40363	58801	48324	57585	56019	58057	51858	39897	41936	53449	55166	29188	60641	47505	46587	50003	51260	46868	49046	28005	44490	59120	41060	53711	51542	54266	45757	56145	51714	62508	58364	60487	51096	59887	36600	43178	32344	39861	33918	47803	48859	50752	55578
52026	64019	45495	44493	46751	53065	54918	58769	50211	36659	51829	71004	60227	46719	71989	53139	52451	61895	32717	31523	46679	46073	53323	49373	42016	21946	45414	47268	40368	39407	46612	60246	52881	52962	44264	42263	45306	54918	53785	31880	34613	41759	54623	44951	66568	69640	54595	45758	54596	60826	41399	44561	49256	40364	55186	58319	36292	44493	54083	53189	63222	55847	53455	39895	43148	37055	48870	47104	35963	48077	34802	53117	48612	57416	43438	41858	31241	53542	53877	40755	53794	54048	53598	41671	61104	50533	73101	52699	56883	53628	62992	42106	49280	36135	43211	36520	47344	45320	47859	49725
59649	60564	42806	29105	63232	40536	39086	37551	51091	28022	50819	77377	47907	37223	67205	44388	57916	58576	41874	29710	53141	61339	63028	50164	37191	19419	40254	52764	35828	36840	34478	54459	30704	50200	42860	39832	30287	61754	58010	38948	40010	56350	40803	54200	66213	54876	44532	51469	55755	73368	38463	57047	46941	38196	40733	51623	55206	38885	58961	57917	58337	41341	69429	55183	40599	47153	63199	41786	22432	59912	41476	48664	44841	60463	47209	42263	37016	40351	61841	33610	54653	66430	39674	39117	56100	63831	55256	48433	77216	56431	65652	29101	34086	31274	43109	31323	66368	35880	52181	36618
59014	50515	43229	40554	56043	49002	58550	44796	41395	22297	48151	68233	62979	45327	69254	50026	44341	54888	40523	46444	41521	48088	63134	47657	42458	25087	46781	35667	36038	39174	37060	55064	50965	49509	37342	38979	44805	58203	43198	39743	47914	41093	62033	55405	64092	54945	50207	55256	58372	59275	53146	48573	26293	44811	56930	57083	45765	46705	57079	47402	56225	58650	62689	56925	33749	36651	44025	53482	30517	57106	48187	37752	45927	46381	48933	45523	25704	35389	70996	49077	53108	52269	48293	44678	51260	55243	65683	60830	64957	48284	62840	30602	43924	32459	39639	26775	52245	47704	60573	49525
54748	58401	40601	40305	50585	42855	53408	51215	47830	26961	49872	72449	44166	30887	71455	45558	48854	57487	45882	40135	41121	55630	51075	45198	46651	29438	33733	36560	35103	40501	55890	51186	50949	53419	24262	48905	47139	60453	35014	39161	35921	51992	57765	57628	64410	67531	44781	55657	54577	48140	40110	47834	38363	38680	52927	54862	52708	45675	47519	47184	62343	54888	59780	45805	34436	36062	53129	47068	43420	55410	38488	47863	39470	53042	44847	37301	32831	48921	69762	43540	59449	56421	47456	37739	54432	60269	71356	59626	70180	49193	65929	46362	56245	28349	38980	27014	50939	52794	56786	41957
47367	55363	42858	46402	49556	53526	63891	53020	46093	30467	49565	64393	65841	50520	71084	53391	45334	59320	36928	39126	43898	40511	57759	49320	43312	26346	49446	38967	38202	44046	38593	59175	54388	52132	42572	42478	48060	48428	46247	35069	43568	37008	58448	46011	64668	63306	52663	45243	62083	60538	48928	38673	37290	41415	57710	60322	38310	52322	53101	48251	60205	59233	50737	47981	33561	36636	41141	51989	32863	49695	35789	44563	46573	52965	48678	40076	27982	46096	60610	47595	47431	45638	50738	40110	55445	51228	72687	56475	60209	44443	63826	34597	51627	40335	43423	29625	47357	46455	57741	52550
45586	57722	45828	47096	48997	57663	64810	68242	40250	31384	41575	62734	76848	64814	67446	59463	37222	61135	24410	38900	44675	42251	62759	57048	51938	21523	48278	39456	46723	52054	38353	58474	66083	50983	58932	31047	52484	50191	47167	32720	51761	22282	66862	41916	59365	70429	54597	50846	50044	57692	52468	45586	43923	56115	67130	62399	28920	49782	62075	41632	61273	65157	47696	42233	32054	44208	38408	60980	31087	50009	47127	47401	49120	51385	49186	43881	23673	49366	52880	48589	47089	41233	66424	47518	49931	39730	68976	62969	49938	42766	53640	39945	46437	39176	43802	36416	36835	55844	44377	63247
61159	58067	51414	60062	53091	53186	65833	45055	50658	29525	54406	71060	67985	48913	75255	47575	45860	61006	37253	52875	43606	40851	56579	58161	34252	23525	64530	44036	32699	37748	33782	70647	66007	53324	41856	40704	46017	53833	39842	39139	45605	42139	66486	38742	78082	54902	57738	45256	71735	59631	51904	29403	33385	38549	68619	54941	32382	49923	56240	59994	62812	69426	56353	48347	44087	35946	45399	58524	22995	57610	42188	40969	42229	45379	55222	45762	22285	34331	70711	40686	45589	52951	51208	48377	61823	50396	74895	59946	57303	44385	67968	31236	55470	43956	49591	24743	48691	46703	62032	54772
58840	55908	40304	38778	54769	39975	51685	50145	45456	17872	52893	71221	50682	36934	68716	48007	46480	57976	42646	38200	41049	56293	64200	49817	44131	26758	40692	38348	37297	38644	37940	52542	44136	47376	37936	39415	50208	51629	44181	40280	40537	46372	54545	57008	64330	60730	43786	56422	56815	53876	45230	53972	34453	43757	53876	52494	50818	44989	57197	43379	55161	50561	62688	51786	32730	43613	49541	51048	38761	56952	43530	46168	40969	50367	55936	39486	35485	45951	72195	42270	56691	52429	51507	40495	52458	61410	67564	61273	70725	45249	63481	36855	43519	36480	39192	27733	57923	49763	54070	46512
46111	55561	41653	42581	44526	54907	61854	60879	41895	31693	49703	61621	66107	49375	69133	53478	47398	62147	34468	35311	43376	42818	55590	44609	46704	23258	44731	38662	41304	41345	44749	54256	53947	52063	41048	43567	46851	52708	51003	32477	37361	33751	58565	47517	61005	69186	56036	49262	56782	59044	48489	43435	38931	43670	58136	60271	38544	48465	51779	48052	60882	56746	48086	45077	36185	31479	42145	49408	37586	46083	38461	51898	49801	55545	40940	44501	27425	53284	53839	45990	52336	46962	52401	42318	54987	51758	71590	54270	55989	49231	59746	42825	52566	33912	37885	33388	40909	49682	54506	51928
57169	62084	46022	49047	49773	52806	56887	46737	51718	36612	59603	72169	63303	43153	72878	42474	58842	66791	40097	36808	53532	49710	55798	51625	34084	20160	57261	53116	36975	35491	37570	60796	49103	56669	38104	47591	30650	62798	58914	31233	35025	48586	53601	41336	75243	59300	63822	46150	70650	74436	46150	37259	44091	31746	55626	56896	41561	41984	52466	66711	63100	54897	55444	51938	51174	31722	58874	47777	22719	57587	38411	53376	51509	58085	41294	52693	27635	44840	55484	33381	51318	59892	42005	45426	66809	58675	66582	47153	61754	57159	67980	35887	52417	34700	42833	31722	50056	39641	61353	48619
