	0
0	gene6
1	gene3
2	gene27
3	gene81
4	gene41
5	gene86
6	gene15
7	gene39
8	gene55
9	gene4
10	gene54
11	gene29
12	gene13
13	gene37
14	gene53
15	gene80
16	gene22
17	gene95
18	gene78
19	gene49
20	gene19
21	gene30
22	gene35
23	gene61
24	gene74
25	gene65
26	gene84
27	gene66
28	gene91
29	gene28
30	gene8
31	gene98
32	gene99
33	gene11
34	gene94
35	gene5
36	gene1
37	gene70
38	gene92
39	gene26
40	gene59
41	gene71
42	gene18
43	gene67
44	gene77
45	gene58
46	gene85
47	gene17
48	gene87
49	gene97
50	gene36
51	gene69
52	gene89
53	gene79
54	gene62
55	gene90
56	gene47
57	gene93
58	gene50
59	gene75
60	gene34
61	gene57
62	gene63
63	gene38
64	gene0
65	gene88
66	gene56
67	gene2
68	gene9
69	gene73
70	gene31
71	gene16
72	gene25
73	gene33
74	gene52
75	gene32
76	gene83
77	gene14
78	gene64
79	gene43
80	gene20
81	gene21
82	gene45
83	gene46
84	gene40
85	gene24
86	gene7
87	gene23
88	gene68
89	gene82
90	gene42
91	gene44
92	gene48
93	gene51
94	gene76
95	gene60
96	gene72
97	gene10
98	gene12
99	gene96
